User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Image-URL-M
91113,0553582755,8,One Door Away from Heaven,Dean R. Koontz,http://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg
134434,2070419878,8,Novecento : Pianiste,Alessandro Baricco,http://images.amazon.com/images/P/2070419878.01.MZZZZZZZ.jpg
104636,0553284789,9,F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,http://images.amazon.com/images/P/0553284789.01.MZZZZZZZ.jpg
34075,0679448594,9,Primary Colors: A Novel of Politics,Anonymous,http://images.amazon.com/images/P/0679448594.01.MZZZZZZZ.jpg
177432,0345354931,7,Night Mare (Xanth Novels (Paperback)),Piers Anthony,http://images.amazon.com/images/P/0345354931.01.MZZZZZZZ.jpg
57255,051510566X,5,The Cat Who Lived High,Lilian Jackson Braun,http://images.amazon.com/images/P/051510566X.01.MZZZZZZZ.jpg
142524,0385507593,8,Jennifer Government : A Novel,Max Barry,http://images.amazon.com/images/P/0385507593.01.MZZZZZZZ.jpg
88733,0439136369,10,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,http://images.amazon.com/images/P/0439136369.01.MZZZZZZZ.jpg
249140,0553272535,7,Night,Elie Wiesel,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
245963,0767900383,9,Under the Tuscan Sun,Frances Mayes,http://images.amazon.com/images/P/0767900383.01.MZZZZZZZ.jpg
220688,0140298479,9,Bridget Jones: The Edge of Reason,Helen Fielding,http://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg
31826,0807593664,10,"The Yellow House Mystery (Boxcar Children Series, No 3)",Gertrude Chandler Warner,http://images.amazon.com/images/P/0807593664.01.MZZZZZZZ.jpg
110029,1400031354,10,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,http://images.amazon.com/images/P/1400031354.01.MZZZZZZZ.jpg
53278,0060652934,7,The Screwtape Letters,C. S. Lewis,http://images.amazon.com/images/P/0060652934.01.MZZZZZZZ.jpg
21364,0802131379,8,Last Exit to Brooklyn,Hubert Selby,http://images.amazon.com/images/P/0802131379.01.MZZZZZZZ.jpg
184532,0451186362,10,Rose Madder,Stephen King,http://images.amazon.com/images/P/0451186362.01.MZZZZZZZ.jpg
170595,0375706771,4,Midwives: A Novel,Chris Bohjalian,http://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg
177195,068480154X,9,TENDER IS THE NIGHT,F. Scott Fitzgerald,http://images.amazon.com/images/P/068480154X.01.MZZZZZZZ.jpg
162376,0743227441,8,The Other Boleyn Girl,Philippa Gregory,http://images.amazon.com/images/P/0743227441.01.MZZZZZZZ.jpg
